Session ID,Date,Position,Survival Time (s),Max Level,Total Kills,Entry Price,Exit Price,PnL at Death (%),Avg Difficulty,Max Difficulty,Max Streak,Cards Picked
session_1766148191976_jzug20kg3,2025-12-19T12:43:11.976Z,LONG,8,1,3,88036.60,88036.60,0.00,1.90,3.20,3,0
session_1766148203947_ladvq887x,2025-12-19T12:43:23.947Z,LONG,187,7,112,87982.02,88129.86,0.17,1.95,3.80,26,6
session_1766148398570_nspx1hx3t,2025-12-19T12:46:38.570Z,LONG,68,4,28,88078.41,88044.01,-0.04,1.77,3.03,8,3
session_1766148470938_037lgw98z,2025-12-19T12:47:50.938Z,LONG,158,7,91,88046.33,88077.43,0.04,2.04,5.63,29,6
